Rough CF (Hz),OBW (Hz),Channel Power (dBm),Peak Power (dBm),isBT
2411975000,16650000,-34.38797913,-54.89556122,0
2412025000,16550000,-34.23155458,-53.58068848,0
2412000000,16700000,-34.18269562,-54.71418762,0
2412000000,16700000,-34.44162349,-55.29097748,0
2412000000,16700000,-34.50410726,-54.68494415,0
2411975000,16650000,-34.27183627,-54.60810852,0
2411975000,16650000,-34.3676374,-53.50231934,0
2412000000,16700000,-34.48288813,-55.05267334,0
2412000000,16700000,-34.20791471,-53.6741066,0
2411975000,16650000,-34.27084983,-53.80950546,0
2410300000,12000000,-32.79072047,-55.25811005,0
2412025000,17950000,-37.56172251,-58.84629822,0
2414700000,10800000,-34.06137731,-56.19754791,0
2410300000,12000000,-32.73741455,-55.20200348,0
2412050000,17900000,-38.72634252,-60.11346436,0
2414700000,10800000,-34.05433742,-56.28764343,0
2411950000,16700000,-41.23930157,-61.7636261,0
2412025000,16750000,-41.02519163,-62.15988922,0
2412000000,16700000,-34.52595471,-53.41342926,0
2412025000,16750000,-41.07692573,-63.17153168,0
2410300000,12000000,-32.53652614,-55.06452179,0
2410300000,12000000,-32.65222103,-55.1315155,0
2410300000,12000000,-32.59390842,-55.1383667,0
2428975000,750000,-50.61619229,-57.47786713,1
2410300000,12000000,-32.90585636,-55.40367889,0
2417600000,23400000,-65.49513346,-77.60887909,1
2428975000,750000,-49.68839608,-56.17079163,1
2410300000,12000000,-33.54889664,-55.97038269,0
2410300000,12000000,-33.45073171,-55.7425766,0
2410300000,12000000,-33.13329143,-55.53598022,0
2428975000,750000,-50.39114745,-57.5839386,1
2410300000,12000000,-32.9115169,-55.18126678,0
2410300000,12000000,-32.78794522,-55.15606689,0
2414250000,11700000,-33.62268298,-55.77252197,0
2414250000,11700000,-33.71710673,-55.8896637,0
2428975000,750000,-50.19475499,-56.71742249,1
2414250000,11700000,-33.53311493,-55.72330475,0
2414250000,11700000,-33.32244279,-55.46533203,0
2412000000,16700000,-20.4680303,-42.85510635,0
2414250000,11700000,-33.60097067,-55.7827301,0
2414250000,11700000,-33.79650269,-55.89348602,0
2429025000,550000,-60.5263848,-69.51651764,1
2410300000,12000000,-33.06785967,-55.5063858,0
2410300000,12000000,-32.87924994,-55.37117004,0
2428975000,750000,-49.70385241,-56.1421814,1
2428975000,750000,-50.13655851,-57.54962921,1
2428975000,750000,-49.91140188,-56.81356812,1
2410300000,12000000,-32.72193414,-55.15975952,0
2410300000,12000000,-32.76510251,-55.24163818,0
2414250000,11700000,-33.60640551,-55.72823334,0
2410300000,12000000,-32.75883327,-55.21248627,0
2414250000,11700000,-33.31958011,-55.49225616,0
2410300000,12000000,-33.08736421,-55.44290161,0
2414250000,11700000,-33.69920536,-55.80725861,0
2410300000,12000000,-32.81159908,-55.30822754,0
2410300000,12000000,-32.60411863,-55.1072464,0
2414250000,11700000,-33.69941522,-55.8692627,0
2414250000,11700000,-33.73376476,-55.92835236,0
2410300000,12000000,-32.65370002,-54.98319244,0
2410300000,12000000,-32.95322839,-55.27913666,0
2414250000,11700000,-34.23269332,-56.3952713,0
2410700000,12800000,-32.86725379,-55.49094391,0
2412000000,16700000,-35.58586773,-55.07173157,0
2412000000,16700000,-34.76081496,-55.1800766,0
2411900000,16900000,-47.05290845,-67.92262268,0
2412000000,16700000,-34.18481117,-53.9606781,0
2412025000,16650000,-34.47009834,-53.82299423,0
2412000000,16700000,-34.59274257,-53.8183136,0
2411975000,16650000,-34.52166724,-54.68479156,0
2411975000,16650000,-34.42489359,-54.4727478,0
2412000000,16700000,-34.40632766,-54.21864319,0
2411700000,15900000,-34.47408985,-53.18348694,0
2412000000,16700000,-34.36334917,-54.87665558,0
2412000000,16700000,-34.40894245,-53.85662842,0
2411800000,16300000,-34.56910442,-54.16361237,0
2412000000,16700000,-34.5414766,-55.22367859,0
2411975000,16650000,-34.46968746,-53.95813751,0
2411825000,16350000,-34.77869685,-53.80466461,0
2412000000,16700000,-34.64629453,-55.35940552,0
2411975000,16650000,-34.33942096,-53.04789734,0
2411975000,16650000,-34.47611752,-53.61988449,0
2412025000,16550000,-34.67043572,-53.30386353,0
2412000000,16700000,-34.57882878,-53.80863953,0
2411975000,16650000,-34.66891687,-54.6843338,0
2412000000,16700000,-34.67318535,-55.62268066,0
2412050000,16600000,-34.42058397,-53.53919601,0
2412000000,16700000,-34.51877447,-55.04949951,0
2411775000,16250000,-34.55973632,-53.65187836,0
2410700000,12800000,-32.54921024,-55.15258026,0
2411975000,16650000,-34.41595869,-54.13483429,0
2414700000,10800000,-34.438311,-56.49519348,0
2410300000,12000000,-32.54970511,-54.89653778,0
2411950000,18000000,-39.82412022,-61.64709473,0
2411950000,16900000,-46.62334892,-67.33648682,0
2414250000,11700000,-33.67289297,-55.78835297,0
2414250000,11700000,-34.0664499,-56.2381897,0
2410700000,12800000,-32.92960929,-55.54391479,0
2410700000,12800000,-32.91044348,-55.53816223,0
2414250000,11700000,-33.96433139,-56.12067413,0
2411975000,16650000,-35.4410427,-54.38375854,0
2412025000,16650000,-34.73510874,-54.56311035,0
2412000000,16700000,-34.65293283,-55.44798279,0
2412000000,16700000,-34.56595219,-55.42306519,0
2411975000,16650000,-34.66076042,-54.26486206,0
2412000000,16700000,-34.30120594,-54.72644043,0
2411975000,16650000,-34.32623893,-53.75102997,0
2412000000,16700000,-34.62397827,-56.13174438,0
2412050000,16600000,-34.55573793,-54.94958496,0
2411975000,16650000,-34.48265801,-54.42502594,0
2411975000,16650000,-34.51021331,-55.39757538,0
2411975000,16750000,-34.77381371,-54.63175201,0
2412000000,16700000,-34.5198259,-55.84770966,0
2411975000,16650000,-34.68776417,-55.02313232,0
2411975000,16650000,-34.27080553,-52.88256073,0
2412000000,16700000,-34.55865519,-55.25437927,0
2412000000,16700000,-34.29870061,-54.67596436,0
2412025000,16650000,-34.68217385,-55.54049683,0
2411875000,16850000,-34.40094363,-55.77915955,0
2410300000,12000000,-33.01602018,-55.54627991,0
2407975000,750000,-43.98326812,-50.5171051,1
2411975000,750000,-44.43473807,-50.88449478,1
2407975000,750000,-44.00341362,-50.4928627,1
2411975000,750000,-44.54912848,-51.12017822,1
2407975000,750000,-44.30407474,-50.84001541,1
2409975000,750000,-44.32662648,-50.7067337,1
2411975000,750000,-44.32931115,-50.61058807,1
2407975000,750000,-44.30238975,-50.69965744,1
2409975000,750000,-44.56765918,-51.09859848,1
2411975000,750000,-44.70148643,-51.33101654,1
2407975000,750000,-44.26927581,-50.64962387,1
2409975000,750000,-44.52725519,-50.93933487,1
2411975000,750000,-44.56538866,-51.03395462,1
2407975000,750000,-44.3287441,-50.69618988,1
2409975000,750000,-44.46071718,-50.8879509,1
